wavenumber weight
23.79435200 100000000.00000000
18.57737700 100000000.00000000
37.13711900 100000000.00000000
32.95368400 100000000.00000000
25.08512100 100000000.00000000
55.70202000 100000000.00000000
99.02678200 100000000.00000000
40.98797600 100000000.00000000
92.52988600 100000000.00000000
55.40524300 100000000.00000000
57.26526300 100000000.00000000
36.60414400 100000000.00000000
38.46416500 100000000.00000000
72.18766200 100000000.00000000
132.65997300 100000000.00000000
38.79055000 100000000.00000000
111.12547400 100000000.00000000
64.02293400 100000000.00000000
73.26219800 100000000.00000000
148.65688700 100000000.00000000
150.51691200 100000000.00000000
78.91790700 100000000.00000000
149.05539800 100000000.00000000
79.77426500 100000000.00000000
69.19560400 100000000.00000000
53.44427200 100000000.00000000
88.07671400 100000000.00000000
30.56018400 100000000.00000000
40.28248600 100000000.00000000
126.99645300 100000000.00000000
75.52389200 100000000.00000000
68.06297100 100000000.00000000
161.78972700 100000000.00000000
82.15459100 100000000.00000000
57.16897400 100000000.00000000
104.29163700 100000000.00000000
105.59079100 100000000.00000000
100.50950500 100000000.00000000
99.09521600 100000000.00000000
74.10960900 100000000.00000000
104.57269400 100000000.00000000
63.99377300 100000000.00000000
47.05314800 100000000.00000000
89.58326100 100000000.00000000
32.36621900 100000000.00000000
140.71168000 100000000.00000000
62.30137800 100000000.00000000
87.75935100 100000000.00000000
101.52909600 100000000.00000000
106.14631300 100000000.00000000
120.07110600 100000000.00000000
96.20917600 100000000.00000000
126.69702000 100000000.00000000
121.90442700 100000000.00000000
98.80537700 100000000.00000000
59.86770700 100000000.00000000
105.65902200 100000000.00000000
44.09932900 100000000.00000000
153.45385400 100000000.00000000
51.43446800 100000000.00000000
58.77541300 100000000.00000000
96.06729200 100000000.00000000
38.63751600 100000000.00000000
96.23126200 100000000.00000000
107.74607500 100000000.00000000
130.85244400 100000000.00000000
